templates	clusters
1j1xL	6eynL
3gkwL	6eynL
4zffL	6eynL
4zffB	6eynL
3t0xB	4fqhL
6cezL	6cezL
6azkA	6eynL
3t0xA	4fqhL
2ajvL	6eynL
5wcaL	5bjzL
2or9M	6eynL
5ockL	4fqhL
5f6hJ	5awnL
2vdnL	6eynL
5x0tD	6eynL
5vcoA	6eynL
5vcoC	6eynL
5x0tB	6eynL
2ipuK	6eynL
3gnmL	6eynL
4k3hD	4k3hB
2ipuL	6eynL
4whyJ	3ietA
4whyH	3ietA
4whyN	3ietA
4whyL	3ietA
1xgtA	6eynL
3ls4L	6eynL
3t2nL	2xzqL
3t2nM	2xzqL
1mexL	6eynL
6azkC	6eynL
1mf2L	6eynL
5b4mL	6eynL
1nl0L	4fqhL
5b4mD	6eynL
4k3hF	4k3hB
4jy6A	4jy6A
4jy6C	4jy6A
3utzE	6eynL
4nrxB	6eynL
4nrxE	6eynL
5yoyO	5yoyD
5yoyN	5yoyD
5yoyM	5yoyD
5yoyF	5yoyD
1q72L	6eynL
5yoyD	5yoyD
5w0dC	5w0dC
2nxzC	2ny0C
4k2uM	6eynL
4k2uL	6eynL
1lgvB	1jvkB
6b3dL	6b3dL
5fxch	2xzqL
1t2qL	6eynL
5dscL	5dscF
5dscB	5dscF
1f3dL	6eynL
3cviL	6eynL
5dscF	5dscF
5dscD	5dscF
1f3dJ	6eynL
3eysL	6eynL
5cilL	3lhpL
1dqlL	3ietA
5fv1M	6eynL
2or9L	6eynL
4np4M	4jznD
1yy8C	6eynL
1dfbL	1dfbL
1yy8A	6eynL
4p3dB	6eynL
3uyrL	3ietA
3phoA	3phoA
4p3dL	6eynL
6dfiL	6dfjL
5lbsM	5lbsM
5lbsL	5lbsM
4m5zL	4fqhL
1fl3B	1fl3B
5ggsD	6eynL
5ggsB	6eynL
3ru8L	1hzhM
2op4L	1oaqL
3ifnL	6eynL
2vl5D	6eynL
2vl5B	6eynL
4n9gN	6eynL
4n9gL	6eynL
4n9gB	6eynL
2gcyA	3lhpL
3u0tA	6eynL
4n9gF	6eynL
3u0tC	6eynL
5i8cB	6eynL
3p0yL	3p0yL
4hiiC	4hiiA
6bzyL	6eynL
5i2iC	6eynL
4uimB	6eynL
5i2iA	6eynL
1jglL	6eynL
2h9gL	6eynL
4jpiL	5cd3B
1r3kA	1r3kA
1dvfA	6eynL
4ouuL	6eynL
6axkB	6axkB
3u9pL	6eynL
3u9pM	6eynL
5az2L	3t65A
3w9dB	3w9eB
3b2uR	6eynL
3b2uU	6eynL
4l1hA	6eynL
5nbwA	6eynL
3b2uX	6eynL
3ikcC	3t65A
6b9yA	6eynL
4tqeL	6eynL
4ydkL	3lhpL
1ymhC	6eynL
3b2uG	6eynL
1ymhA	6eynL
2otuE	2otuC
3b2uK	6eynL
1t4kA	3ietA
3b2uL	6eynL
3b2uO	6eynL
2adjA	6eynL
1ehlL	3vw3L
4lluD	6eynL
4lluB	6eynL
3w9dD	3w9eB
5ir3A	5c9kA
6flbL	6eynL
5dd6L	6eynL
2yklL	4fqhL
5xcsB	6eynL
2xwtB	2xwtB
4jfyA	6eynL
3dusC	3t65A
3dusA	3t65A
5dd6B	6eynL
3sobL	6eynL
3bkmL	6eynL
3o45B	6eynL
3go1L	3go1L
3ngbL	5cd3B
3ngbC	5cd3B
2r2bA	3t65A
3ngbF	5cd3B
4ki5F	6eynL
5aclA	5gkrD
4ki5D	6eynL
3a67L	6eynL
1ztxL	6eynL
3e8uL	6eynL
1blnC	1blnA
5ywfC	5ywfC
5ywfA	5ywfC
5grxg	3lhpL
5i1aL	6eynL
5xlia	5xlib
1ub5L	6eynL
1ub5B	6eynL
5u3mL	5u3mL
3lh2L	3lhpL
3lh2M	3lhpL
3lh2N	3lhpL
5grxh	3lhpL
3o11L	3o11A
1mnuL	6eynL
4bz1L	6eynL
3o11A	3o11A
1ndgA	6eynL
